公司代码,公司简称,公司全称,英文名称,注册地址,A股代码,A股简称,A股上市日期,A股总股本,A股流通股本,地 区,省 份,城 市,所属行业,公司网址
300043,星辉车模,广东星辉车模股份有限公司,"XINGHUI AUTO MODEL CO.,LTD.",汕头市澄海区广益街道登峰路广峰工业区14号厂房,300043,星辉车模,1/20/2010,"52,800,000","13,200,000",华南,广东,汕头市,C3 造纸印刷,www.rastar.cn
300044,赛为智能,深圳市赛为智能股份有限公司,"Shenzhen Sunwin Intelligent Co.,Ltd.",深圳市南山区高新区科技中二路软件园2号楼3楼,300044,赛为智能,1/20/2010,"80,000,000","20,000,000",华南,广东,深圳市,G 信息技术,www.szsunwin.com
300045,华力创通,北京华力创通科技股份有限公司,Hwa Create Corporation Ltd.,北京市海淀区东北旺西路8 号乙18 号,300045,华力创通,1/20/2010,"67,000,000","17,000,000",华北,北京,北京市,G 信息技术,www.hwacreate.com.cn
300046,台基股份,湖北台基半导体股份有限公司,"HUBEI TECH SEMICONDUCTORS CO., LTD.",湖北省襄樊市襄城区胜利街186号,300046,台基股份,1/20/2010,"71,040,000","18,000,000",华中,湖北,襄樊市,C5 电子,www.tech-sem.com
300047,天源迪科,深圳天源迪科信息技术股份有限公司,"SHENZHEN TIANYUAN DIC INFORMATION TECHNOLOGY CO.,LTD.",深圳市高新区南区市高新技术工业村T3栋B3楼,300047,天源迪科,1/20/2010,"104,600,000","27,000,000",华南,广东,深圳市,G 信息技术,www.tydic.com
300048,合康变频,北京合康亿盛变频科技股份有限公司,"Hiconics Drive Technology Co.,Ltd.",北京市石景山区古城西街19号中小企业基地院内,300048,合康变频,1/20/2010,"120,000,000","30,000,000",华北,北京,北京市,C7 机械设备,www.hiconics.com
300049,福瑞股份,内蒙古福瑞中蒙药科技股份有限公司,"Inner Mongolia Free Han & Mongolia Pharmaceutical Co., Ltd.",乌兰察布市集宁区解放路103号,300049,福瑞股份,1/20/2010,"74,000,000","19,000,000",,,,C8 医药生物,www.fu-rui.com
300050,世纪鼎利,珠海世纪鼎利通信科技股份有限公司,"Dingli Communications Corp.,Ltd.",珠海市港湾大道科技五路8号一层,300050,世纪鼎利,1/20/2010,"54,000,000","14,000,000",华南,广东,珠海市,G 信息技术,www.dinglicom.com
300051,三五互联,厦门三五互联科技股份有限公司,"Xiamen 35.com Technology Co., Ltd.",厦门市火炬高新技术产业开发区软件园二期观日路8号一层,300051,三五互联,2/11/2010,"53,500,000","10,800,000",华东,福建,厦门市,G 信息技术,www.35.com
300052,中青宝,深圳中青宝互动娱乐股份有限公司,"SHENZHEN ZQGAME NETWORK CO., LTD",深圳市福田区深南中路电子科技大厦C座43层A1,300052,中青宝,2/11/2010,"100,000,000","20,000,000",华南,广东,深圳市,G 信息技术,www.zqgame.com
300053,欧比特,珠海欧比特控制工程股份有限公司,"Zhuhai Orbita Control Engineering Co.,Ltd.",珠海市唐家东岸白沙路1号欧比特科技园,300053,欧比特,2/11/2010,"100,000,000","20,000,000",华南,广东,珠海市,C5 电子,www.myorbita.net
