公司代码,公司简称,公司全称,英文名称,注册地址,A股代码,A股简称,A股上市日期,A股总股本,A股流通股本,地 区,省 份,城 市,所属行业,公司网址
000687,保定天鹅,保定天鹅股份有限公司,BAO DING SWAN CO. LTD,保定市新市区盛兴西路1369号,687,保定天鹅,2/21/1997,"641,600,000","641,593,542",华北,河北,保定市,C4 石化塑胶,www.bd-swan.com
000688,朝华科技,朝华科技(集团)股份有限公司,"ZARVA TECHNOLOGY (GROUP) CO., LTD",重庆市涪陵区江东群沱子街31号,688,*ST朝华,1/20/1997,"401,913,108","252,598,809",西南,重庆,重庆市,G 信息技术,www.zarvagroup.com
000690,宝新能源,广东宝丽华新能源股份有限公司,"GUANGDONG BAOLIHUA NEW ENERGY STOCK CO., LTD",广东省梅州市梅县华侨城香港花园宝丽华综合大楼,690,宝新能源,1/28/1997,"1,726,612,500","1,697,897,303",华南,广东,梅州市,D 水电煤气,www.baolihua.com.cn
000691,亚太实业,海南亚太实业发展股份有限公司,"HAINAN UNITED OILS & TECHNOLOGIES DEVELOPMENT CO.,LTD.",海南省海口市人民大道25号,691,*ST亚太,2/28/1997,"323,270,000","268,469,100",华南,海南,海口市,M 综合类,www.cnceo.com/qiye/index.jsp?nm=qymhq93
000692,惠天热电,沈阳惠天热电股份有限公司,"SHENYANG HUITIAN THERMAL POWER CO.,LTD",辽宁省沈阳市沈河区热闹路47号,692,惠天热电,2/27/1997,"266,416,488","266,381,200",东北,辽宁,沈阳市,D 水电煤气,www.htrd.cn
000693,聚友网络,成都聚友网络股份有限公司,CHENGDU UNIONFRIEND NETWORK CO. LTD.,四川省成都海峡两岸科技开发园科技创新中心,693,S*ST聚友,2/26/1997,"192,693,908","58,483,920",西南,四川,成都市,L 传播文化,www.unionfriend.com
000695,滨海能源,天津滨海能源发展股份有限公司,"TIANJIN BINHAI ENERGY & DEVELOPMENT CO.,LTD",天津市开发区第十一大街27号,695,滨海能源,2/18/1997,"222,147,539","149,931,125",华北,天津,天津市,D 水电煤气,www.binhaienergy.com
000697,咸阳偏转,咸阳偏转股份有限公司,"XIANYANG PIANZHUAN CO.,LTD",陕西省咸阳市渭阳西路70号,697,*ST 偏转,3/25/1997,"186,612,758","132,428,635",西北,陕西,咸阳市,C5 电子,www.pianzhuan.com.cn
000698,沈阳化工,沈阳化工股份有限公司,"SHENYANG CHEMICAL INDUSTRY CO.,LTD",辽宁省沈阳市经济技术开发区沈大路888号,698,沈阳化工,2/20/1997,"660,928,528","627,050,656",东北,辽宁,沈阳市,C4 石化塑胶,www.sychem.com
000700,模塑科技,江南模塑科技股份有限公司,"JIANGNAN MOULD & PLASTIC TECHNOLOGY CO.,LTD",江苏省江阴市周庄镇长青路8号,700,模塑科技,2/28/1997,"309,043,600","308,910,620",华东,江苏,无锡市,C7 机械设备,www.jnmpt.com
000701,厦门信达,厦门信达股份有限公司,XIAMEN XINDE CO LTD,厦门市湖里区兴隆路27号第7层,701,厦门信达,2/26/1997,"240,250,000","195,863,814",华东,福建,厦门市,M 综合类,www.xindeco.com
000702,正虹科技,湖南正虹科技发展股份有限公司,"HUNAN ZHENGHONG SCIENCE AND TECHNOLOGY DEVELOP CO., LTD",湖南省岳阳市屈原管理区营田镇,702,正虹科技,3/18/1997,"266,634,576","266,626,424",华中,湖南,岳阳市,C0 食品饮料,www.chinazhjt.com.cn
000703,世纪光华,世纪光华科技股份有限公司,"CENTENNIAL BRILLIANCE SCIENCE & TECHNOLOGY CO,LTD",北海市北海大道西16 号海富大厦第七层G 号,703,*ST光华,3/28/1997,"143,910,000","142,337,068",华南,广西,北海市,G 信息技术,www.shijiguanghua.com
000705,浙江震元,浙江震元股份有限公司,"ZHEJIANG ZHENYUAN CO.,LTD",浙江省绍兴市解放北路289号,705,浙江震元,4/10/1997,"125,329,360","99,291,061",华东,浙江,绍兴市,H 批发零售,www.zjzy.com
000706,瓦 轴,瓦房店轴承股份有限公司,WAFANGDIAN BEARING COMPANY LIMITED,辽宁省瓦房店市北共济街一段1号,,,,0,0,东北,辽宁,大连市,C7 机械设备,www.zwz-bearing.com
000707,双环科技,湖北双环科技股份有限公司,"HUBEI SHUANGHUAN SCIENCE AND TECHNOLOGYSTOCK CO.,LTD",湖北省应城市东马坊团结大道26号,707,双环科技,4/15/1997,"464,145,765","464,143,360",华中,湖北,孝感市,C4 石化塑胶,www.shkj.cn
000708,大冶特钢,大冶特殊钢股份有限公司,"DAYE SPECIAL STEEL CO .,LTD",湖北省黄石市黄石大道316号,708,大冶特钢,3/26/1997,"449,408,480","447,126,428",华中,湖北,黄石市,C6 金属非金属,www.dayesteel.com.cn
000709,河北钢铁,河北钢铁股份有限公司,HEBEI IRON AND STEEL CO.，LTD.,石家庄市市裕华西路40号,709,河北钢铁,4/16/1997,"6,876,780,487","3,755,380,439",华北,河北,石家庄市,C6 金属非金属,www.hebgtgf.com
000710,天兴仪表,成都天兴仪表股份有限公司,"CHENGDU TIANXING INSTRUMENT AND METER CO,LTD",四川省成都高新技术产业开发区,710,天兴仪表,4/22/1997,"151,200,000","151,200,000",西南,四川,成都市,C7 机械设备,www.000710.com
000711,天伦置业,黑龙江天伦置业股份有限公司,"HEILONGJIANG TIANLUN REAL ESTATE DEVELOPMENT CO.,LTD",黑龙江省哈尔滨市经济技术开发区天顺街副68号,711,天伦置业,4/11/1997,"107,265,600","78,695,600",东北,黑龙江,哈尔滨市,K 社会服务,www.tlzy.com.cn
000712,锦龙股份,广东锦龙发展股份有限公司,GUANGDONG GOLDEN DRAGON DEVELOPMENT INC.,广东省东莞市南城区鸿福路106号南峰中心第十二层,712,锦龙股份,4/15/1997,"304,623,048","191,034,364",华南,广东,东莞市,C1 纺织服装,www.jlgf.com
000713,丰乐种业,合肥丰乐种业股份有限公司,"HEFEI FENGLE SEED.CO.,LTD",安徽省合肥市长江西路727号,713,丰乐种业,4/22/1997,"270,000,000","269,996,849",华东,安徽,合肥市,A 农林牧渔,www.fengle.com.cn
000715,中兴商业,中兴-沈阳商业大厦(集团)股份有限公司,"CITIC DEVELOPMENT-SHENYANG COMMERCIAL BUILDING(GROUP) CO.,LTD",辽宁省沈阳市和平区太原北街86号,715,中兴商业,5/8/1997,"279,006,000","278,056,492",东北,辽宁,沈阳市,H 批发零售,www.zxbusiness.com
000716,南方食品,广西南方食品集团股份有限公司,"GUANGXI SOUTH FOODSTUFF GROUP STOCK CO.,LTD",广西容县城南工业集中区黑五类产业园,716,*ST南方,4/18/1997,"178,259,538","171,096,608",华南,广西,南宁市,M 综合类,www.gxstrong.com.cn
000717,韶钢松山,广东韶钢松山股份有限公司,"SGIS Songshan Co., Ltd.",广东省韶关市曲江县马坝,717,韶钢松山,5/8/1997,"1,669,524,410","1,127,998,906",华南,广东,韶关市,C6 金属非金属,www.sgss.com.cn
000718,苏宁环球,苏宁环球股份有限公司,"Suning Universal Co.,LTD",吉林省吉林经济技术开发区九站街718号,718,苏宁环球,4/8/1997,"1,702,660,468","1,065,248,686",东北,吉林,吉林市,C3 造纸印刷,www.jlzy.rime.com.cn
000719,焦作鑫安,焦作鑫安科技股份有限公司,"JIAOZUO XIN’AN SCIENCE & TECHNOLOGY CO.,LTD",河南省焦作市民主北路15号,719,S*ST鑫安,3/31/1997,"129,375,687","49,138,898",华中,河南,焦作市,C4 石化塑胶,www.jzxa.com
000720,新能泰山,山东新能泰山发电股份有限公司,"SHANDONG XINNENG TAISHAN POWER GENERATION CO.,LTD.",山东省泰安市普照寺路5号,720,*ST能山,5/9/1997,"863,460,000","863,438,531",华东,山东,泰安市,D 水电煤气,www.sz000720.com
000721,西安饮食,西安饮食股份有限公司,"Xi""AN CATERING CO., LTD.",陕西省西安市东大街298号,721,西安饮食,4/30/1997,"199,527,960","167,087,310",西北,陕西,西安市,K 社会服务,www.xcsg.com
000722,金果实业,湖南金果实业股份有限公司,"HUNAN JINGUO INDUSTRIAL CO.,LTD",湖南省衡阳市金果路15号,722,*ST 金果,5/22/1997,"268,130,736","266,919,074",华中,湖南,衡阳市,M 综合类,www.gfindustry.com
000723,美锦能源,山西美锦能源股份有限公司,SHANXI MEIJIN ENERGY CO.，LTD,山西省太原市清徐县贯中大厦,723,美锦能源,5/15/1997,"139,599,195","77,749,966",华北,山西,太原市,C4 石化塑胶,www.mjenergy.com
000725,京 东 方,京东方科技集团股份有限公司,"BOE TECHNOLOGY GROUP CO., LTD",北京市朝阳区酒仙桥路10号,725,京东方Ａ,1/12/2001,"7,167,352,447","2,167,247,155",华北,北京,北京市,C5 电子,www.boe.com.cn
000726,鲁 泰,鲁泰纺织股份有限公司,"LU THAI TEXTILE CO., LTD",山东省淄博市高新技术开发区铭波路11号,726,鲁 泰Ａ,12/25/2000,"552,152,400","453,172,208",华东,山东,淄博市,C1 纺织服装,www.lttc.com.cn
000727,华东科技,南京华东电子信息科技股份有限公司,"NANJING HUADONG ELECTRONICS INFORMATION & TECHNOLOGY CO.,LTD",江苏省南京市浦口高新技术产业开发区D03栋,727,华东科技,5/20/1997,"359,157,356","358,140,094",华东,江苏,南京市,C7 机械设备,www.hdeg.com
000728,国元证券,国元证券股份有限公司,GUOYUAN SECURITIES COMPANY LIMITED,安徽省合肥市寿春路179号,728,国元证券,6/16/1997,"1,964,100,000","785,120,147",华东,安徽,合肥市,I 金融保险,www.gyzq.com.cn
000729,燕京啤酒,北京燕京啤酒股份有限公司,"BEIJING YANJING BREWERY CO.,LTD",北京市顺义区双河路9号,729,燕京啤酒,7/16/1997,"1,210,266,963","503,989,785",华北,北京,北京市,C0 食品饮料,www.yanjing.com.cn
000731,四川美丰,四川美丰化工股份有限公司,"SICHUAN MEIFENG CHEMICAL INDUSTRY CO., LTD",四川省射洪县太和镇新阳街87号,731,四川美丰,6/17/1997,"499,840,000","499,703,271",西南,四川,遂宁市,C4 石化塑胶,www.scmeif.com
000732,福建三农,福建三农集团股份有限公司,"FUJIAN SANNONG GROUP CO.,LTD",福建省三明市梅列区徐碧,732,*ST三农,7/4/1997,"1,017,177,993","149,659,528",华东,福建,三明市,C4 石化塑胶,www.sannong.com
000733,振华科技,中国振华(集团)科技股份有限公司,"CHINA ZHENHUA(GROUP) SCIENCE& TECHNOLOGY CO.,LTD",贵州省贵阳市乌当区新添大道北段268号,733,振华科技,7/3/1997,"358,120,000","358,120,000",西南,贵州,贵阳市,C5 电子,www.czelec.com.cn
000735,罗 牛 山,海口农工贸(罗牛山)股份有限公司,"HAIKOU AGRICULTURE&INDUSTRY&TRADE(LUONIUSHAN) CO.,LTD",海南省海口市人民大道50号,735,罗 牛 山,6/11/1997,"880,132,000","879,942,855",华南,海南,海口市,A 农林牧渔,www.luoniushan.com
000736,重庆实业,重庆国际实业投资股份有限公司,"CHONGQING INTERNATIONAL ENTERPRISE INVESTMENT CO., LTD",重庆市江北区建新北路86号,736,ST 重 实,4/25/1997,"297,193,885","98,632,463",西南,重庆,重庆市,J 房地产业,
000737,南风化工,南风化工集团股份有限公司,"NAFINE CHEMICAL INDUSTRY GROUP CO.,LTD",山西省运城市解放路294号,737,南风化工,4/28/1997,"548,760,000","547,509,692",华北,山西,运城市,C4 石化塑胶,www.nafine.com
000738,南方宇航,南方宇航科技股份有限公司,"Nan Fang Space Navigation Science & Technology CO.,LTD",湖南省株洲市高新技术产业开发区天台西路1号,738,ST 宇 航,6/26/1997,"397,800,000","203,490,000",华中,湖南,株洲市,C7 机械设备,www.chinasatc.com
000739,普洛股份,普洛股份有限公司,"APELOA CO.,LTD",山东省青岛市胶州路140号,739,普洛股份,5/9/1997,"256,735,686","256,688,773",华东,山东,青岛市,C8 医药生物,www.apeloa.com
000748,长城信息,长城信息产业股份有限公司,"GrentWall Information Industry CO., LTD",湖南省长沙市雨花路161号,748,长城信息,7/4/1997,"375,562,170","375,562,170",华中,湖南,长沙市,G 信息技术,www.hcc.com.cn
000750,桂林集琦,桂林集琦药业股份有限公司,"GUILINJIQI PHARMACEUTICAL CO., LTD",广西桂林市育才路55号,750,S*ST集琦,7/9/1997,"215,057,400","122,152,120",华南,广西,桂林市,C8 医药生物,www.guilinjiqi.com.cn
000751,锌业股份,葫芦岛锌业股份有限公司,"HULUDAO ZINC INDUSTRY CO.,LTD",辽宁省葫芦岛市龙港区锌厂路24号,751,*ST锌业,6/26/1997,"1,110,133,291","1,110,073,876",东北,辽宁,葫芦岛市,C6 金属非金属,www.hldxygf.com
000752,西藏发展,西藏银河科技发展股份有限公司,"TIBET GALAXY SCIENCE & TECHNOLOGY DEVELOPMENT CO.,LTD",西藏自治区拉萨市色拉路36号,752,西藏发展,6/25/1997,"263,758,491","263,721,487",西南,西藏,拉萨市,C0 食品饮料,xzyhkjfzgfgs.my.sme.cn
000753,漳州发展,福建漳州发展股份有限公司,"Fujian Zhangzhou Development Co.,Ltd",福建省漳州市胜利东路漳州发展广场,753,漳州发展,6/26/1997,"316,302,618","234,338,668",华东,福建,漳州市,F 运输仓储,www.zzdc.com.cn
000755,山西三维,山西三维集团股份有限公司,"SHANXI SANWEI GROUP CO.,LTD",山西省太原市高新技术产业开发区VI-4区,755,山西三维,6/27/1997,"469,264,621","469,224,502",华北,山西,太原市,C4 石化塑胶,www.sxsanwei.com
000756,新华制药,山东新华制药股份有限公司,SHANDONG XINHUA PHARMACEUTICAL COMPANY LIMITED,山东省淄博市高新技术产业开发区化工区,756,新华制药,8/6/1997,"307,312,830","142,371,543",华东,山东,淄博市,C8 医药生物,www.xhzy.com
000757,方向光电,四川方向光电股份有限公司,"SI CHUAN DIRECTION PHOTOELECTRICITY CO., LTD",四川省内江市椑木镇,757,*ST 方向,6/27/1997,"305,277,713","149,114,086",西南,四川,内江市,C7 机械设备,www.direction.com.cn
000758,中色股份,中国有色金属建设股份有限公司,"CHINA NONFERROUS METAL INDUSTRY’S FOREIGN ENGINEERING AND CONSTRUCTION CO., LTD",北京市丰台区西客站南广场驻京办1号楼B座中色建设大厦,758,中色股份,4/16/1997,"638,880,000","425,830,261",华北,北京,北京市,E 建筑业,www.nfc.com.cn
000759,武汉中百,武汉中百集团股份有限公司,"WUHAN ZHONGBAI GROUP CO., LTD",中国武汉市江汉区江汉路129号,759,武汉中百,5/19/1997,"681,021,500","680,427,203",华中,湖北,武汉市,H 批发零售,www.whzb.com
000760,博盈投资,湖北博盈投资股份有限公司,"HUBEI BOTHWIN INVESTMENT CO.,LTD",湖北省公安县斗湖堤镇荆江大道178号,760,*ST博盈,6/27/1997,"236,852,292","236,841,189",华中,湖北,荆州市,C7 机械设备,www.hbbothwin.com
000761,本钢板材,本钢板材股份有限公司,"BENGANG STEEL PLATES CO.,LTD",辽宁省本溪市平山区人民路16号,761,本钢板材,1/15/1998,"2,736,000,000","697,589,950",东北,辽宁,本溪市,C6 金属非金属,www.ln.cei.gov.cn
000762,西藏矿业,西藏矿业发展股份有限公司,"TIBET MINERAL DEVELOPMENT CO.,LTD",西藏拉萨市扎基路14号,762,西藏矿业,7/8/1997,"275,701,250","226,909,124",西南,西藏,拉萨市,B 采掘业,
000766,通化金马,通化金马药业集团股份有限公司,"TONGHUA GOLDEN-HORSE PHARMACEUTICAL INDUSTRY CO.,LTD",吉林省通化市江南路100-1号,766,通化金马,4/30/1997,"449,016,276","449,009,749",东北,吉林,通化市,C8 医药生物,www.jinmayy.com
000767,漳泽电力,山西漳泽电力股份有限公司,"shanxi zhangze electric power co.,ltd",山西省太原市五一路179 号,767,漳泽电力,6/9/1997,"1,323,725,000","1,322,421,951",华北,山西,太原市,D 水电煤气,www.zhangzepower.com
000768,西飞国际,西安飞机国际航空制造股份有限公司,"XI""AN AIRCRAFT INTERNATIONAL CORPORATION",陕西省西安市阎良区西飞大道一号,768,西飞国际,6/26/1997,"2,477,618,440","1,524,988,066",西北,陕西,西安市,C7 机械设备,www.xac.com.cn
000770,武 锅,武汉锅炉股份有限公司,"WUHAN BOILER CO.,LTD",武汉市东湖高新技术开发区佛祖岭机电工业园流芳园路特一号,,,,0,0,华中,湖北,武汉市,C7 机械设备,www.wbcl.com.cn
000771,杭 汽 轮,杭州汽轮机股份有限公司,"HANGZHOU STEAM TURBINE CO.,LTD",浙江省杭州市石桥路357号,,,,0,0,华东,浙江,杭州市,C7 机械设备,www.htc.net.cn
000776,广发证券,广发证券股份有限公司,"GF SECURITIES CO.,LTD",广州市天河区天河北路183-187 号大都会广场43 楼（4301-4316 房）,776,广发证券,6/11/1997,"2,507,045,732","92,070,945",华南,广东,广州市,I 金融保险,www.gf.com.cn
000777,中核科技,中核苏阀科技实业股份有限公司,"SUFA Technology Industry Co.,Ltd.,CNNC.",江苏省苏州市新区珠江路501号,777,中核科技,7/10/1997,"201,600,000","146,718,921",华东,江苏,苏州市,C7 机械设备,www.chinasufa.com
000778,新兴铸管,新兴铸管股份有限公司,"XINXING DUCTILE IRON PIPES CO., LTD",河北省武安市上洛阳村北(二六七二厂区),778,新兴铸管,6/6/1997,"1,474,516,596","1,040,207,030",华北,河北,邯郸市,C6 金属非金属,www.xinxing-pipes.com
000779,三毛派神,兰州三毛实业股份有限公司,"LANZHOU SANMAO INDUSTRIAL CO.,LTD",甘肃省兰州市西固区玉门街486 号,779,三毛派神,5/28/1997,"186,441,020","160,113,233",西北,甘肃,兰州市,C1 纺织服装,www.chinapaishen.com
000780,平庄能源,内蒙古平庄能源股份有限公司,"INNER MONGOLIA PingZhuang Energy Resources CO.,LTD",内蒙古赤峰市元宝山区平庄镇哈河街,780,平庄能源,6/6/1997,"1,014,306,324","391,359,037",华北,内蒙古,赤峰市,B 采掘业,www.nmgpzny.com
000782,美达股份,广东新会美达锦纶股份有限公司,"GUANGDONG XINHUI MEIDA NYLON CO., LTD",广东省江门市新会区会城镇江会路上浅口,782,美达股份,6/19/1997,"404,513,250","404,507,652",华南,广东,江门市,C4 石化塑胶,www.meidanylon.com
000783,长江证券,长江证券股份有限公司,"Changjiang Securities Co., LTD",湖北省武汉市江汉区新华路特8号,783,长江证券,7/31/1997,"2,171,233,839","1,106,672,337",华中,湖北,武汉市,I 金融保险,www.cjsc.com.cn
000785,武汉中商,武汉中商集团股份有限公司,"WUHAN ZHONGNAN COMMERCIAL GROUP CO.,LTD",湖北省武汉市武昌区中南路9号,785,武汉中商,7/11/1997,"251,221,698","251,089,142",华中,湖北,武汉市,H 批发零售,www.chinaebiz.biz
000786,北新建材,北新集团建材股份有限公司,"BEIJING NEW BUILDING MATERIALS PUBLIC CO.,LTD",北京市海淀区三里河路甲11号,786,北新建材,6/6/1997,"575,150,000","575,086,359",华北,北京,北京市,C6 金属非金属,www.bnbm.com.cn
000787,创智科技,创智信息科技股份有限公司,"POWERISE INFORMATION TECHNOLOGY CO., LTD",广东省深圳市南山区高新技术工业村管理楼207#,787,*ST 创智,6/26/1997,"378,614,200","269,914,000",华南,广东,深圳市,G 信息技术,www.powerise.com.cn
000788,西南合成,北大国际医院集团西南合成制药股份有限公司,"PKU International Healthcare Group Southwest Pharmaceutical Co., Ltd.",重庆市江北区寸滩水口,788,西南合成,6/16/1997,"416,274,897","243,373,546",西南,重庆,重庆市,C8 医药生物,www.fsspc.com
000789,江西水泥,江西万年青水泥股份有限公司,"JIANGXI WANNIANQING CEMENT CO.,LTD",江西省南昌市,789,江西水泥,9/23/1997,"395,909,579","375,842,478",华东,江西,南昌市,C6 金属非金属,www.wnq.com.cn
000790,华神集团,成都华神集团股份有限公司,"CHENGDU HOIST INC.,LTD",四川省成都市十二桥路37号新1号华神科技大厦A座6楼,790,华神集团,3/27/1998,"269,878,440","259,502,723",西南,四川,成都市,C8 医药生物,www.hoist.com.cn
000791,西北化工,西北永新化工股份有限公司,"NORTHWEST YONGXIN CHEMICAL INDUSTRY CO.,LTD",中国甘肃省兰州市城关区北龙口永新化工园区,791,西北化工,10/14/1997,"189,000,000","188,976,125",西北,甘肃,兰州市,C4 石化塑胶,www.yoxin.net
000792,盐湖钾肥,青海盐湖钾肥股份有限公司,"QINGHAI SALT LAKE POTASH CO.,LTD",青海省格尔木市察尔汗,792,盐湖钾肥,9/4/1997,"767,550,000","390,747,343",西北,青海,海西蒙古族藏族自治州,C4 石化塑胶,www.yhjf.com
000793,华闻传媒,华闻传媒投资集团股份有限公司,Huawen Media Investment Corporation,海南省海口市海甸四东路民生大厦,793,华闻传媒,7/29/1997,"1,360,132,576","1,169,405,239",华南,海南,海口市,M 综合类,www.000793.com
000795,太原刚玉,太原双塔刚玉股份有限公司,"TAIYUAN TWIN TOWER ALUMINUM OXIDE CO.,LTD",山西省太原市郝庄正街62号,795,太原刚玉,8/8/1997,"276,800,000","190,998,030",华北,山西,太原市,C6 金属非金属,www.twin-tower.com
000796,宝商集团,宝鸡商场(集团)股份有限公司,"BAOJI DEPARTMENT STORE(GROUP)CO.,LTD",陕西省宝鸡市高新开发区峪泉路10号,796,宝商集团,7/3/1997,"246,542,015","203,627,837",西北,陕西,宝鸡市,H 批发零售,www.bsjt.net
000797,中国武夷,中国武夷实业股份有限公司,"CHINA WUYI CO.,LTD",福建省福州市五四路89号置地广场33 层,797,中国武夷,7/15/1997,"389,452,440","334,335,891",华东,福建,福州市,E 建筑业,www.chinawuyi.com.cn
000798,中水渔业,中水集团远洋股份有限公司,"CNFC OVERSEAS FISHERY CO.,LTD",北京市西城区金融街23号,798,中水渔业,2/12/1998,"319,455,000","130,390,109",华北,北京,北京市,A 农林牧渔,www.cofc.com.cn
000799,湘 酒 鬼,酒鬼酒股份有限公司,"JIUGUI LIQUOR CO., LTD.",湖南省吉首市振武营,799,酒 鬼 酒,7/18/1997,"303,050,000","173,222,471",华中,湖南,湘西土家族苗族自治州,C0 食品饮料,www.xiangjiugui.cn
000800,一汽轿车,一汽轿车股份有限公司,"FAW CAR CO.,LTD",吉林省长春市高新技术产业开发区蔚山路4888号,800,一汽轿车,6/18/1997,"1,627,500,000","1,411,740,777",东北,吉林,长春市,C7 机械设备,www.fawcar.com.cn
000801,四川湖山,四川湖山电子股份有限公司,"SICHUAN HUSHAN ELECTRONIC CO., LTD",四川省绵阳市游仙经济试验区中经路36 号,801,四川湖山,5/6/1998,"132,035,903","132,035,903",西南,四川,绵阳市,C5 电子,www.china-hushan.com
000802,北京旅游,北京京西风光旅游开发股份有限公司,"BEIJING JINGXI TOURISM DEVELOPMENT.CO.,LTD",北京市门头沟区新桥大街35号百花宾馆4、5层,802,北京旅游,1/8/1998,"137,490,180","72,094,007",华北,北京,北京市,K 社会服务,www.bj-tour.com.cn
000803,金宇车城,四川金宇汽车城（集团）股份有限公司,SICHUAN　JINYU AUTOMOBILE　CITY（GROUP）CO.，LTD,四川省南充市顺庆区延安路380号,803,金宇车城,3/3/1998,"127,730,893","90,269,304",西南,四川,南充市,C1 纺织服装,www.scjycc.com
000805,炎黄物流,江苏炎黄在线物流股份有限公司,JIANGSU CHINESE ONLINE LOGISTICS CO. LTD,江苏省常州市新区河海路96号,805,*ST炎黄,5/29/1998,"63,648,789","20,848,789",华东,江苏,常州市,G 信息技术,www.0805.com.cn
000806,银河科技,北海银河高科技产业股份有限公司,"BEIHAI YINHE HI-TECH INDUSTRIAL CO.,LTD",广西北海市银河软件科技园综合办公楼,806,银河科技,4/16/1998,"699,214,962","696,914,147",华南,广西,北海市,C7 机械设备,www.yinhetech.com
000807,云铝股份,云南铝业股份有限公司,"YUNNAN ALUMINIUM CO.,LTD",云南省昆明市呈贡县七甸乡,807,云铝股份,4/8/1998,"1,183,979,219","587,229,550",西南,云南,昆明市,C6 金属非金属,www.ylgf.com
000809,中汇医药,四川中汇医药(集团)股份有限公司,"SICHUAN JOINT-WIT MEDICAL & PHARMACEUTICAL INDUSTRY CO., LTD",四川省成都市高新区技术创新服务中心西部园区基地A-215,809,中汇医药,6/16/1998,"114,570,000","114,568,961",西南,四川,成都市,C1 纺织服装,www.cdzhonghui.com
000810,华润锦华,华润锦华股份有限公司,"CHINA RESOURCES JINHUA CO.,LTD.",四川省遂宁市遂州中路309号,810,华润锦华,6/2/1998,"129,665,718","129,665,718",西南,四川,遂宁市,C1 纺织服装,www.hrjh.com.cn
000811,烟台冰轮,烟台冰轮股份有限公司,"YANTAI MOON CO ., LTD",山东省烟台市芝罘区西山路80号,811,烟台冰轮,5/28/1998,"175,376,630","133,610,985",华东,山东,烟台市,C7 机械设备,www.yantaimoon.com
000812,陕西金叶,陕西金叶科教集团股份有限公司,"SHAANXI JINYE SCIENCE TECHNOLOGY AND EDUCATION GROUP CO.,LTD",陕西省西安市高新技术开发区(西区)高新三路9号,812,陕西金叶,6/23/1998,"372,813,043","372,761,567",西北,陕西,西安市,C3 造纸印刷,
000813,天山纺织,新疆天山毛纺织股份有限公司,"XINJIANG TIANSHAN WOOL TEX STOCK CO., LTD",新疆乌鲁木齐市银川路1号,813,天山纺织,5/19/1998,"363,456,000","363,456,000",西北,新疆,乌鲁木齐市,C1 纺织服装,www.chinatianshan.com
000815,美利纸业,中冶美利纸业股份有限公司,"NINGXIA MEILI PAPER INDUSTRY CO.,LTD",宁夏回族自治区银川市,815,美利纸业,6/9/1998,"158,400,000","157,776,318",西北,宁夏,银川市,C3 造纸印刷,www.china-meili.com
000816,江淮动力,江苏江淮动力股份有限公司,"JIANGSU JIANGHUAI ENGINE CO.,LTD",江苏省盐城市环城西路213号,816,江淮动力,8/18/1997,"846,000,000","845,962,933",华东,江苏,盐城市,C7 机械设备,www.jdchina.com
000818,锦化氯碱,锦化化工集团氯碱股份有限公司,"JIN HUA GROUP CHLOR-ALKALI CO., LTD",辽宁省葫芦岛市连山区化工街,818,*ST锦化,10/17/1997,"340,000,000","149,953,031",东北,辽宁,葫芦岛市,C4 石化塑胶,www.jinhuagroup.com
000819,岳阳兴长,岳阳兴长石化股份有限公司,"YUEYANG XINGCHANG PETRO-CHEMICAL CO.,LTD",湖南省岳阳市云溪区,819,岳阳兴长,6/25/1997,"193,712,443","193,696,577",华中,湖南,岳阳市,C4 石化塑胶,www.yyxc0819.com
000820,金城股份,金城造纸股份有限公司,"JINCHENG PAPER CO.,LTD",辽宁省凌海市金城街,820,*ST金城,6/30/1998,"287,834,760","216,140,757",东北,辽宁,锦州市,C3 造纸印刷,www.jinchengpaper.com
000821,京山轻机,湖北京山轻工机械股份有限公司,"HUBEI JINGSHAN LIGHT INDUSTRY MACHINERY STOCK CO.,LTD",湖北省京山县新市镇轻机大道78号,821,京山轻机,6/26/1998,"345,238,781","345,209,664",华中,湖北,荆门市,C7 机械设备,www.jspackmach.com
000822,山东海化,山东海化股份有限公司,"SHANDONG HAIHUA CO.,LTD",山东省潍坊市滨海经济开发区,822,山东海化,7/3/1998,"895,091,926","895,083,093",华东,山东,潍坊市,C4 石化塑胶,www.chinahaihua.com
000823,超声电子,广东汕头超声电子股份有限公司,"GUANGDONG GOWORLD CO., LTD",广东省汕头市龙湖区龙江路12号,823,超声电子,10/8/1997,"440,436,000","288,299,346",华南,广东,汕头市,C5 电子,www.gd-goworld.com
000825,太钢不锈,山西太钢不锈钢股份有限公司,SHANXI TAIGANG STAINLESS STEEL CO.LTD,山西省太原市尖草坪街2号,825,太钢不锈,10/21/1998,"5,696,247,796","2,288,510,344",华北,山西,太原市,C6 金属非金属,www.tgbx.com
000826,桑德环境,桑德环境资源股份有限公司,"SOUND ENVIRONMENTAL RESOURCES CO., LTD.",湖北省宜昌市沿江大道114号国投原宜大厦大楼,826,桑德环境,2/25/1998,"413,356,140","232,842,807",华中,湖北,宜昌市,C4 石化塑胶,www.eguard-rd.com
000828,东莞控股,东莞发展控股股份有限公司,"DONGGUAN DEVELOPMENT (HOLDINGS) CO., LTD",广东省东莞市南城区科技工业园科技路39号,828,东莞控股,6/17/1997,"1,039,516,992","636,531,503",华南,广东,东莞市,F 运输仓储,www.dgholdings.cn
