代码   	名称	涨幅%%	现价	日涨跌	买入价	卖出价	总量	现量	涨速%%	换手%%	今开	昨收	最高	最低	市盈(动)	总金额	
000016	上证５０	1.38	2007.52	27.35	--- 	--- 	19269364	--- 	          0.14	--- 	1987.10	1980.17	2016.85	1968.00	--- 	22960072704	
000017	新 综 指	0.39	2285.50	8.85	--- 	--- 	80132976	--- 	          0.14	--- 	2278.76	2276.65	2297.57	2241.43	--- 	93965697024	
000018	180金融	1.94	3447.59	65.74	--- 	--- 	8487458	--- 	          0.16	--- 	3394.33	3381.85	3461.73	3366.19	--- 	11280901120	
000019	治理指数	0.81	780.67	6.25	--- 	--- 	32641553	--- 	          0.16	--- 	776.22	774.42	784.22	764.54	--- 	38207172608	
000020	中型综指	-2.03	882.31	-18.28	--- 	--- 	26521963	--- 	          0.14	--- 	899.35	900.59	907.16	865.03	--- 	32825530368	
000021	180治理	1.23	728.52	8.85	--- 	--- 	22926904	--- 	          0.16	--- 	721.96	719.67	731.40	713.54	--- 	26580785152	
000022	沪公司债	0.07	123.53	0.09	--- 	--- 	138711	--- 	--- 	--- 	123.49	123.44	123.61	123.35	--- 	142835504	
000023	沪分离债	0.16	124.66	0.20	--- 	--- 	320854	--- 	--- 	--- 	124.47	124.46	124.69	124.33	--- 	251249808	
000025	180基建	0.93	1511.41	13.90	--- 	--- 	5433906	--- 	          0.11	--- 	1500.38	1497.51	1519.47	1484.76	--- 	3487136000	
000026	180资源	0.96	4003.36	38.01	--- 	--- 	4082313	--- 	          0.14	--- 	3981.63	3965.35	4018.68	3934.29	--- 	8071149568	
000027	180运输	-1.59	1499.87	-24.23	--- 	--- 	3676213	--- 	          0.12	--- 	1521.46	1524.10	1538.98	1483.68	--- 	3064667904	
000028	180成长	1.21	2204.42	26.43	--- 	--- 	11146048	--- 	          0.18	--- 	2185.31	2177.99	2216.30	2159.18	--- 	18842933248	
000029	180价值	1.73	2643.92	44.85	--- 	--- 	13393113	--- 	          0.18	--- 	2606.05	2599.07	2653.15	2584.15	--- 	15107151872	
000030	180R成长	0.49	1661.92	8.08	--- 	--- 	27219676	--- 	          0.16	--- 	1658.89	1653.84	1673.85	1628.79	--- 	37178966016	
000031	180R价值	1.29	2126.24	27.12	--- 	--- 	29331206	--- 	          0.16	--- 	2104.92	2099.12	2134.90	2081.08	--- 	33308610560	
000032	上证能源	1.55	2590.06	39.42	--- 	--- 	2713231	--- 	          0.15	--- 	2559.20	2550.64	2598.57	2532.66	--- 	4641474560	
000033	上证材料	0.03	2124.72	0.63	--- 	--- 	6822833	--- 	          0.13	--- 	2128.92	2124.09	2147.15	2086.89	--- 	8453559296	
000034	上证工业	-0.38	2059.51	-7.78	--- 	--- 	8442049	--- 	          0.14	--- 	2068.07	2067.29	2087.74	2018.74	--- 	9244149760	
000035	上证可选	-0.36	2250.76	-8.18	--- 	--- 	5511380	--- 	          0.22	--- 	2259.96	2258.94	2280.45	2190.78	--- 	6524943360	
000036	上证消费	-1.63	4193.54	-69.30	--- 	--- 	3824974	--- 	          0.20	--- 	4247.83	4262.84	4299.58	4141.30	--- 	5330067968	
000037	上证医药	-3.16	3611.76	-117.83	--- 	--- 	2062428	--- 	          0.10	--- 	3724.03	3729.59	3746.84	3548.95	--- 	3917369344	
000038	上证金融	2.03	3205.17	63.66	--- 	--- 	10717137	--- 	          0.16	--- 	3153.59	3141.51	3217.62	3127.59	--- 	13072778240	
000039	上证信息	-3.51	2564.58	-93.26	--- 	--- 	3487302	--- 	          0.22	--- 	2648.90	2657.84	2678.96	2499.85	--- 	4757660160	
000040	上证电信	0.46	1981.20	9.04	--- 	--- 	1110951	--- 	          0.12	--- 	1971.60	1972.16	1995.67	1939.65	--- 	973740736	
000041	上证公用	0.39	1852.83	7.18	--- 	--- 	2660598	--- 	          0.17	--- 	1847.66	1845.65	1863.69	1818.22	--- 	2042003968	
000042	上证央企	1.06	1368.44	14.32	--- 	--- 	14792873	--- 	          0.13	--- 	1356.08	1354.12	1374.99	1343.55	--- 	15180486656	
000043	超 大 盘	1.15	2092.31	23.82	--- 	--- 	9176510	--- 	          0.15	--- 	2074.59	2068.49	2099.88	2052.91	--- 	10123274240	
000044	上证中盘	0.12	2703.62	3.23	--- 	--- 	16121045	--- 	          0.19	--- 	2704.94	2700.39	2729.00	2642.48	--- 	21286764544	
000045	上证小盘	-1.59	3364.40	-54.35	--- 	--- 	24968323	--- 	          0.16	--- 	3412.98	3418.75	3445.34	3289.35	--- 	30707609600	
000046	上证中小	-0.77	3007.61	-23.26	--- 	--- 	41089368	--- 	          0.18	--- 	3030.67	3030.87	3058.33	2940.23	--- 	51994374144	
000047	上证全指	0.27	2430.68	6.57	--- 	--- 	60358733	--- 	          0.16	--- 	2428.13	2424.11	2448.99	2379.93	--- 	74954448896	
000048	责任指数	1.30	895.68	11.47	--- 	--- 	15163381	--- 	          0.15	--- 	886.88	884.21	899.53	876.28	--- 	21851107328	
000049	上证民企	-0.52	1101.45	-5.78	--- 	--- 	7880763	--- 	          0.16	--- 	1107.58	1107.23	1117.07	1073.93	--- 	8816584704	
000054	上证海外	1.29	929.22	11.86	--- 	--- 	9600712	--- 	          0.10	--- 	920.33	917.36	932.74	913.42	--- 	9821199360	
000055	上证地企	1.28	855.19	10.80	--- 	--- 	8743280	--- 	          0.19	--- 	848.07	844.39	858.66	837.32	--- 	13851137024	
000056	上证国企	1.14	849.42	9.61	--- 	--- 	23536153	--- 	          0.16	--- 	841.98	839.81	853.23	833.16	--- 	29031624704	
000057	全指成长	0.64	2541.09	16.09	--- 	--- 	19630471	--- 	          0.14	--- 	2531.23	2525.00	2555.79	2491.17	--- 	29142530048	
